"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02432,0.02432,-1.627
0.02438,0.02438,-1.626
0.02431,0.02431,-1.627
0.02443,0.02443,-1.627
0.02452,0.02452,-1.627
0.02426,0.02426,-1.627
0.02444,0.02444,-1.626
0.02425,0.02425,-1.626
0.02452,0.02452,-1.626
0.02417,0.02417,-1.626
0.02425,0.02425,-1.626
0.02429,0.02429,-1.625
0.02417,0.02417,-1.626
0.02412,0.02412,-1.625
0.02438,0.02438,-1.626
0.02434,0.02434,-1.626
0.02434,0.02434,-1.626
0.02429,0.02429,-1.626
0.02437,0.02437,-1.626
0.02432,0.02432,-1.626
0.02409,0.02409,-1.626
0.02426,0.02426,-1.626
0.02435,0.02435,-1.626
0.02435,0.02435,-1.626
0.02425,0.02425,-1.627
0.02437,0.02437,-1.627
0.02441,0.02441,-1.626
0.02440,0.02440,-1.626
0.02438,0.02438,-1.625
0.02412,0.02412,-1.626
0.02423,0.02423,-1.626
0.02417,0.02417,-1.625
0.02452,0.02452,-1.625
0.02428,0.02428,-1.625
0.02434,0.02434,-1.626
0.02415,0.02415,-1.626
0.02431,0.02431,-1.626
0.02425,0.02425,-1.626
0.02428,0.02428,-1.626
0.02426,0.02426,-1.627
0.02426,0.02426,-1.626
0.02415,0.02415,-1.627
0.02412,0.02412,-1.626
0.02438,0.02438,-1.626
0.02432,0.02432,-1.625
0.02429,0.02429,-1.625
0.02443,0.02443,-1.625
0.02432,0.02432,-1.626
0.02455,0.02455,-1.626
0.02419,0.02419,-1.626
0.02458,0.02458,-1.625
0.02406,0.02406,-1.624
0.02449,0.02449,-1.624
0.02412,0.02412,-1.625
0.02423,0.02423,-1.625
0.02443,0.02443,-1.625
0.02422,0.02422,-1.625
0.02441,0.02441,-1.625
0.02425,0.02425,-1.625
0.02452,0.02452,-1.626
0.02443,0.02443,-1.625
0.02467,0.02467,-1.625
0.02434,0.02434,-1.625
0.02388,0.02388,-1.625
0.02429,0.02429,-1.625
0.02419,0.02419,-1.625
0.02419,0.02419,-1.625
0.02432,0.02432,-1.625
0.02399,0.02399,-1.625
0.02417,0.02417,-1.625
0.02412,0.02412,-1.626
0.02425,0.02425,-1.625
0.02428,0.02428,-1.626
0.02405,0.02405,-1.625
0.02408,0.02408,-1.625
0.02437,0.02437,-1.625
0.02438,0.02438,-1.625
0.02428,0.02428,-1.625
0.02448,0.02448,-1.626
0.02435,0.02435,-1.626
0.02461,0.02461,-1.625
0.02432,0.02432,-1.625
0.02444,0.02444,-1.626
0.02438,0.02438,-1.626
0.02438,0.02438,-1.625
0.02440,0.02440,-1.624
0.02504,0.02504,-1.621
0.02483,0.02483,-1.621
0.02498,0.02498,-1.621
0.02507,0.02507,-1.620
0.02539,0.02539,-1.616
0.02533,0.02533,-1.615
0.02550,0.02550,-1.615
0.02611,0.02611,-1.614
0.02678,0.02678,-1.613
0.02733,0.02733,-1.612
0.02742,0.02742,-1.611
0.02792,0.02792,-1.611
0.02792,0.02792,-1.608
0.02832,0.02832,-1.607
0.02853,0.02853,-1.607
0.02837,0.02837,-1.603
0.02841,0.02841,-1.604
0.02863,0.02863,-1.604
0.02869,0.02869,-1.604
0.02882,0.02882,-1.602
0.02890,0.02890,-1.600
0.02908,0.02908,-1.599
0.02901,0.02901,-1.600
0.02890,0.02890,-1.600
0.02905,0.02905,-1.600
0.02892,0.02892,-1.599
0.02934,0.02934,-1.599
0.02896,0.02896,-1.600
0.02907,0.02907,-1.599
0.02907,0.02907,-1.597
0.02921,0.02921,-1.597
0.02919,0.02919,-1.596
0.02904,0.02904,-1.595
0.02908,0.02908,-1.595
0.02911,0.02911,-1.595
0.02904,0.02904,-1.595
0.02928,0.02928,-1.595
0.02888,0.02888,-1.596
0.02907,0.02907,-1.595
0.02917,0.02917,-1.595
0.02890,0.02890,-1.594
0.02888,0.02888,-1.590
0.02885,0.02885,-1.590
0.02866,0.02866,-1.590
0.02890,0.02890,-1.590
0.02896,0.02896,-1.589
0.02896,0.02896,-1.590
0.02878,0.02878,-1.590
0.02878,0.02878,-1.587
0.02872,0.02872,-1.585
0.02870,0.02870,-1.585
0.02887,0.02887,-1.585
0.02861,0.02861,-1.585
0.02881,0.02881,-1.585
0.02861,0.02861,-1.585
0.02887,0.02887,-1.583
0.02879,0.02879,-1.580
0.02861,0.02861,-1.581
0.02881,0.02881,-1.581
0.02849,0.02849,-1.581
0.02856,0.02856,-1.581
0.02878,0.02878,-1.580
0.02852,0.02852,-1.580
0.02872,0.02872,-1.578
0.02879,0.02879,-1.577
0.02884,0.02884,-1.576
0.02879,0.02879,-1.575
0.02879,0.02879,-1.575
0.02890,0.02890,-1.576
0.02856,0.02856,-1.575
0.02849,0.02849,-1.574
0.02850,0.02850,-1.572
0.02849,0.02849,-1.572
0.02791,0.02791,-1.571
0.02750,0.02750,-1.572
0.02724,0.02724,-1.572
0.02736,0.02736,-1.570
0.02681,0.02681,-1.568
0.02675,0.02675,-1.568
0.02626,0.02626,-1.566
0.02606,0.02606,-1.564
0.02565,0.02565,-1.564
0.02528,0.02528,-1.564
0.02534,0.02534,-1.563
0.02501,0.02501,-1.560
0.02515,0.02515,-1.559
0.02486,0.02486,-1.560
0.02464,0.02464,-1.559
0.02448,0.02448,-1.556
0.02429,0.02429,-1.555
0.02452,0.02452,-1.555
0.02419,0.02419,-1.555
0.02454,0.02454,-1.553
0.02449,0.02449,-1.549
0.02423,0.02423,-1.549
0.02423,0.02423,-1.549
0.02449,0.02449,-1.549
0.02441,0.02441,-1.549
0.02443,0.02443,-1.550
0.02440,0.02440,-1.547
0.02477,0.02477,-1.545
0.02443,0.02443,-1.545
0.02437,0.02437,-1.545
0.02472,0.02472,-1.545
0.02490,0.02490,-1.545
0.02481,0.02481,-1.545
0.02524,0.02524,-1.543
0.02512,0.02512,-1.541
0.02512,0.02512,-1.541
0.02521,0.02521,-1.541
0.02530,0.02530,-1.541
0.02541,0.02541,-1.541
0.02568,0.02568,-1.537
0.02617,0.02617,-1.536
0.02664,0.02664,-1.536
0.02725,0.02725,-1.536
0.02750,0.02750,-1.536
0.02774,0.02774,-1.535
0.02760,0.02760,-1.532
0.02803,0.02803,-1.530
0.02803,0.02803,-1.530
0.02853,0.02853,-1.530
0.02861,0.02861,-1.528
0.02876,0.02876,-1.526
0.02924,0.02924,-1.526
0.02946,0.02946,-1.526
0.02995,0.02995,-1.525
0.03027,0.03027,-1.525
0.03046,0.03046,-1.526
0.03072,0.03072,-1.526
0.03079,0.03079,-1.524
0.03064,0.03064,-1.521
0.03104,0.03104,-1.521
0.03096,0.03096,-1.521
0.03099,0.03099,-1.521
0.03104,0.03104,-1.519
0.03082,0.03082,-1.517
0.03087,0.03087,-1.517
0.03081,0.03081,-1.517
0.03102,0.03102,-1.513
0.03088,0.03088,-1.512
0.03081,0.03081,-1.512
0.03076,0.03076,-1.511
0.03064,0.03064,-1.509
0.03065,0.03065,-1.509
0.03033,0.03033,-1.509
0.03053,0.03053,-1.508
0.03032,0.03032,-1.509
0.03033,0.03033,-1.509
0.03020,0.03020,-1.508
0.03012,0.03012,-1.505
0.03030,0.03030,-1.504
0.03024,0.03024,-1.504
0.03021,0.03021,-1.504
0.03004,0.03004,-1.500
0.02988,0.02988,-1.500
0.03003,0.03003,-1.499
0.03011,0.03011,-1.500
0.02983,0.02983,-1.500
0.03004,0.03004,-1.496
0.03008,0.03008,-1.496
0.03014,0.03014,-1.495
0.03001,0.03001,-1.494
0.02986,0.02986,-1.495
0.02979,0.02979,-1.495
0.02988,0.02988,-1.495
0.03009,0.03009,-1.495
0.03004,0.03004,-1.494
0.02998,0.02998,-1.492
0.02982,0.02982,-1.489
0.02992,0.02992,-1.489
0.02985,0.02985,-1.490
0.02998,0.02998,-1.489
0.02972,0.02972,-1.490
0.02977,0.02977,-1.490
0.02948,0.02948,-1.490
0.02980,0.02980,-1.490
0.02934,0.02934,-1.489
0.02899,0.02899,-1.489
0.02878,0.02878,-1.486
0.02835,0.02835,-1.486
0.02815,0.02815,-1.486
0.02763,0.02763,-1.486
0.02751,0.02751,-1.485
0.02718,0.02718,-1.482
0.02693,0.02693,-1.481
0.02667,0.02667,-1.482
0.02658,0.02658,-1.480
0.02634,0.02634,-1.478
0.02597,0.02597,-1.478
0.02573,0.02573,-1.478
0.02547,0.02547,-1.478
0.02513,0.02513,-1.478
0.02545,0.02545,-1.475
0.02507,0.02507,-1.474
0.02509,0.02509,-1.473
0.02486,0.02486,-1.473
0.02466,0.02466,-1.474
0.02463,0.02463,-1.473
0.02470,0.02470,-1.469
0.02480,0.02480,-1.468
0.02473,0.02473,-1.468
0.02480,0.02480,-1.468
0.02490,0.02490,-1.467
0.02481,0.02481,-1.464
0.02502,0.02502,-1.463
0.02486,0.02486,-1.464
0.02519,0.02519,-1.463
0.02492,0.02492,-1.462
0.02499,0.02499,-1.462
0.02530,0.02530,-1.461
0.02518,0.02518,-1.460
0.02544,0.02544,-1.459
0.02551,0.02551,-1.458
0.02570,0.02570,-1.458
0.02603,0.02603,-1.458
0.02644,0.02644,-1.457
0.02716,0.02716,-1.458
0.02744,0.02744,-1.457
0.02762,0.02762,-1.455
0.02812,0.02812,-1.452
0.02844,0.02844,-1.453
0.02933,0.02933,-1.453
0.02983,0.02983,-1.449
0.03040,0.03040,-1.448
0.03105,0.03105,-1.449
0.03218,0.03218,-1.449
0.03246,0.03246,-1.448
0.03293,0.03293,-1.445
0.03343,0.03343,-1.445
0.03473,0.03473,-1.445
0.03459,0.03459,-1.442
0.03505,0.03505,-1.442
0.03537,0.03537,-1.442
0.03642,0.03642,-1.442
0.03714,0.03714,-1.443
0.03842,0.03842,-1.442
0.03918,0.03918,-1.440
0.04008,0.04008,-1.439
0.04027,0.04027,-1.438
0.04013,0.04013,-1.437
0.04033,0.04033,-1.438
0.04004,0.04004,-1.436
0.04001,0.04001,-1.434
0.03984,0.03984,-1.432
0.03998,0.03998,-1.429
0.03949,0.03949,-1.429
0.03943,0.03943,-1.429
0.03894,0.03894,-1.429
0.03868,0.03868,-1.428
0.03830,0.03830,-1.425
0.03795,0.03795,-1.423
0.03770,0.03770,-1.423
0.03699,0.03699,-1.423
0.03607,0.03607,-1.423
0.03566,0.03566,-1.425
0.03537,0.03537,-1.425
0.03476,0.03476,-1.422
0.03423,0.03423,-1.419
0.03369,0.03369,-1.420
0.03302,0.03302,-1.419
0.03275,0.03275,-1.419
0.03223,0.03223,-1.417
0.03157,0.03157,-1.415
0.03172,0.03172,-1.415
0.03172,0.03172,-1.415
0.03143,0.03143,-1.414
0.03116,0.03116,-1.411
0.03079,0.03079,-1.411
0.03072,0.03072,-1.411
0.03044,0.03044,-1.411
0.03032,0.03032,-1.410
0.03000,0.03000,-1.410
0.02980,0.02980,-1.410
0.02951,0.02951,-1.410
0.02927,0.02927,-1.410
0.02855,0.02855,-1.409
0.02823,0.02823,-1.407
0.02763,0.02763,-1.406
0.02698,0.02698,-1.406
0.02666,0.02666,-1.406
0.02625,0.02625,-1.405
0.02608,0.02608,-1.404
0.02583,0.02583,-1.401
0.02509,0.02509,-1.400
0.02507,0.02507,-1.400
0.02487,0.02487,-1.397
0.02477,0.02477,-1.396
0.02483,0.02483,-1.397
0.02509,0.02509,-1.393
0.02492,0.02492,-1.392
0.02524,0.02524,-1.392
0.02525,0.02525,-1.391
0.02612,0.02612,-1.389
0.02637,0.02637,-1.388
0.02702,0.02702,-1.388
0.02756,0.02756,-1.387
0.02837,0.02837,-1.385
0.02890,0.02890,-1.383
0.02937,0.02937,-1.383
0.02983,0.02983,-1.383
0.03046,0.03046,-1.380
0.03107,0.03107,-1.378
0.03125,0.03125,-1.378
0.03175,0.03175,-1.378
0.03183,0.03183,-1.378
0.03210,0.03210,-1.376
0.03262,0.03262,-1.374
0.03271,0.03271,-1.374
0.03281,0.03281,-1.374
0.03348,0.03348,-1.373
0.03412,0.03412,-1.373
0.03448,0.03448,-1.373
0.03481,0.03481,-1.373
0.03548,0.03548,-1.372
0.03616,0.03616,-1.370
0.03612,0.03612,-1.369
0.03658,0.03658,-1.369
0.03723,0.03723,-1.369
0.03754,0.03754,-1.368
0.03821,0.03821,-1.369
0.03821,0.03821,-1.367
0.03874,0.03874,-1.367
0.03888,0.03888,-1.365
0.03949,0.03949,-1.365
0.03952,0.03952,-1.365
0.04027,0.04027,-1.365
0.04056,0.04056,-1.365
0.04083,0.04083,-1.364
0.04105,0.04105,-1.363
0.04147,0.04147,-1.362
0.04163,0.04163,-1.362
0.04173,0.04173,-1.361
0.04233,0.04233,-1.358
0.04230,0.04230,-1.357
0.04269,0.04269,-1.356
0.04300,0.04300,-1.356
0.04280,0.04280,-1.356
0.04320,0.04320,-1.354
0.04318,0.04318,-1.353
0.04343,0.04343,-1.353
0.04318,0.04318,-1.352
0.04338,0.04338,-1.349
0.04315,0.04315,-1.348
0.04337,0.04337,-1.348
0.04301,0.04301,-1.348
0.04317,0.04317,-1.348
0.04337,0.04337,-1.348
0.04311,0.04311,-1.346
0.04305,0.04305,-1.344
0.04297,0.04297,-1.343
0.04282,0.04282,-1.344
0.04268,0.04268,-1.343
0.04257,0.04257,-1.343
0.04224,0.04224,-1.341
0.04169,0.04169,-1.338
0.04153,0.04153,-1.338
0.04117,0.04117,-1.339
0.04028,0.04028,-1.338
0.03975,0.03975,-1.337
0.03935,0.03935,-1.336
0.03879,0.03879,-1.333
0.03786,0.03786,-1.332
0.03717,0.03717,-1.332
0.03670,0.03670,-1.332
0.03592,0.03592,-1.330
0.03465,0.03465,-1.328
0.03426,0.03426,-1.328
0.03392,0.03392,-1.328
0.03362,0.03362,-1.328
0.03230,0.03230,-1.326
0.03171,0.03171,-1.324
0.03059,0.03059,-1.324
0.02937,0.02937,-1.324
0.02800,0.02800,-1.323
0.02779,0.02779,-1.323
0.02716,0.02716,-1.322
0.02707,0.02707,-1.319
0.02664,0.02664,-1.320
0.02580,0.02580,-1.320
0.02594,0.02594,-1.318
0.02608,0.02608,-1.316
0.02652,0.02652,-1.316
0.02696,0.02696,-1.316
0.02736,0.02736,-1.315
0.02750,0.02750,-1.312
0.02814,0.02814,-1.311
0.02910,0.02910,-1.311
0.02930,0.02930,-1.309
0.02975,0.02975,-1.306
0.03033,0.03033,-1.306
0.03107,0.03107,-1.306
0.03134,0.03134,-1.306
0.03166,0.03166,-1.304
0.03195,0.03195,-1.302
0.03206,0.03206,-1.302
0.03471,0.03471,-1.302
0.03595,0.03595,-1.302
0.03708,0.03708,-1.302
0.03810,0.03810,-1.302
0.03949,0.03949,-1.301
0.04030,0.04030,-1.301
0.04077,0.04077,-1.298
0.04173,0.04173,-1.297
0.04466,0.04466,-1.297
0.04568,0.04568,-1.297
0.04752,0.04752,-1.295
0.04919,0.04919,-1.293
0.05168,0.05168,-1.293
0.05356,0.05356,-1.293
0.05479,0.05479,-1.293
0.05730,0.05730,-1.291
0.06183,0.06183,-1.288
0.06227,0.06227,-1.287
0.06352,0.06352,-1.287
0.06398,0.06398,-1.286
0.06512,0.06512,-1.282
0.06555,0.06555,-1.282
0.06668,0.06668,-1.281
0.06813,0.06813,-1.279
0.07123,0.07123,-1.278
0.07298,0.07298,-1.277
0.07387,0.07387,-1.278
0.07420,0.07420,-1.278
0.07497,0.07497,-1.278
0.07603,0.07603,-1.277
0.07759,0.07759,-1.275
0.08031,0.08031,-1.274
0.08154,0.08154,-1.274
0.08264,0.08264,-1.274
0.08316,0.08316,-1.274
0.08405,0.08405,-1.274
0.08479,0.08479,-1.273
0.08588,0.08588,-1.269
0.08669,0.08669,-1.269
0.08760,0.08760,-1.270
0.08801,0.08801,-1.270
0.08835,0.08835,-1.269
0.08942,0.08942,-1.269
0.09021,0.09021,-1.267
0.09085,0.09085,-1.266
0.09137,0.09137,-1.265
0.09140,0.09140,-1.265
0.09180,0.09180,-1.265
0.09196,0.09196,-1.266
0.09193,0.09193,-1.265
0.09151,0.09151,-1.263
0.09094,0.09094,-1.263
0.09059,0.09059,-1.261
0.08812,0.08812,-1.260
0.08559,0.08559,-1.260
0.08276,0.08276,-1.260
0.07944,0.07944,-1.259
0.07791,0.07791,-1.256
0.07695,0.07695,-1.255
0.07504,0.07504,-1.256
0.07211,0.07211,-1.252
0.06972,0.06972,-1.251
0.06784,0.06784,-1.252
0.06677,0.06677,-1.251
0.06470,0.06470,-1.251
0.06409,0.06409,-1.251
0.06230,0.06230,-1.249
0.05956,0.05956,-1.248
0.05231,0.05231,-1.246
0.05089,0.05089,-1.246
0.04936,0.04936,-1.247
0.04687,0.04687,-1.246
0.04294,0.04294,-1.247
0.04070,0.04070,-1.246
0.03889,0.03889,-1.244
0.03734,0.03734,-1.243
0.03317,0.03317,-1.243
0.03271,0.03271,-1.243
0.03102,0.03102,-1.243
0.03036,0.03036,-1.243
0.02957,0.02957,-1.241
0.02957,0.02957,-1.240
0.02982,0.02982,-1.240
0.02991,0.02991,-1.239
0.02992,0.02992,-1.238
0.03099,0.03099,-1.236
0.03146,0.03146,-1.236
0.03247,0.03247,-1.236
0.03368,0.03368,-1.235
0.03641,0.03641,-1.236
0.03886,0.03886,-1.235
0.04083,0.04083,-1.233
0.04300,0.04300,-1.231
0.04686,0.04686,-1.230
0.04897,0.04897,-1.230
0.05196,0.05196,-1.230
0.05658,0.05658,-1.231
0.07166,0.07166,-1.230
0.07956,0.07956,-1.228
0.08705,0.08705,-1.226
0.09435,0.09435,-1.226
0.10347,0.10347,-1.226
0.10600,0.10600,-1.225
0.10916,0.10916,-1.222
0.11909,0.11909,-1.221
0.12560,0.12560,-1.221
0.13292,0.13292,-1.220
0.13896,0.13896,-1.218
0.14925,0.14925,-1.218
0.15398,0.15398,-1.217
0.15776,0.15776,-1.216
0.16032,0.16032,-1.216
0.16991,0.16991,-1.216
0.17276,0.17276,-1.216
0.17610,0.17610,-1.214
0.18443,0.18443,-1.213
0.18666,0.18666,-1.212
0.19109,0.19109,-1.212
0.19325,0.19325,-1.212
0.20203,0.20203,-1.212
0.20798,0.20798,-1.212
0.21397,0.21397,-1.212
0.23029,0.23029,-1.212
0.23854,0.23854,-1.211
0.24747,0.24747,-1.212
0.25293,0.25293,-1.211
0.27162,0.27162,-1.209
0.27722,0.27722,-1.208
0.28693,0.28693,-1.207
0.30301,0.30301,-1.207
0.31557,0.31557,-1.207
0.32230,0.32230,-1.207
0.34605,0.34605,-1.207
0.35995,0.35995,-1.206
0.37476,0.37476,-1.205
0.39653,0.39653,-1.203
0.40172,0.40172,-1.204
0.40620,0.40620,-1.204
0.40915,0.40915,-1.204
0.41406,0.41406,-1.204
0.41769,0.41769,-1.202
0.42523,0.42523,-1.200
0.45073,0.45073,-1.200
0.46136,0.46136,-1.200
0.46481,0.46481,-1.199
0.46901,0.46901,-1.200
0.47073,0.47073,-1.200
0.47461,0.47461,-1.200
0.47833,0.47833,-1.200
0.51450,0.51450,-1.200
0.53445,0.53445,-1.200
0.54601,0.54601,-1.200
0.56912,0.56912,-1.200
0.58687,0.58687,-1.200
0.61400,0.61400,-1.198
0.66351,0.66351,-1.195
0.67877,0.67877,-1.195
0.69247,0.69247,-1.195
0.73265,0.73265,-1.196
0.74429,0.74429,-1.195
0.75996,0.75996,-1.193
0.79198,0.79198,-1.192
0.80528,0.80528,-1.192
0.81639,0.81639,-1.192
0.82755,0.82755,-1.192
0.83127,0.83127,-1.190
0.83656,0.83656,-1.189
0.86684,0.86684,-1.187
0.87291,0.87291,-1.187
0.89415,0.89415,-1.187
0.92043,0.92043,-1.187
0.93631,0.93631,-1.186
0.95209,0.95209,-1.186
0.97279,0.97279,-1.186
0.99826,0.99826,-1.186
1.00876,1.00876,-1.186
1.01501,1.01501,-1.185
1.03349,1.03349,-1.184
1.03877,1.03877,-1.183
1.05190,1.05190,-1.182
1.06223,1.06223,-1.182
1.06509,1.06509,-1.182
1.06729,1.06729,-1.182
1.08217,1.08217,-1.182
1.09050,1.09050,-1.182
1.10074,1.10074,-1.182
1.11931,1.11931,-1.182
1.12595,1.12595,-1.182
1.13557,1.13557,-1.183
1.14548,1.14548,-1.182
1.15167,1.15167,-1.181
1.15642,1.15642,-1.180
1.16553,1.16553,-1.179
1.17229,1.17229,-1.178
1.17950,1.17950,-1.178
1.19504,1.19504,-1.178
1.20343,1.20343,-1.178
1.21301,1.21301,-1.177
1.23567,1.23567,-1.178
1.24286,1.24286,-1.178
1.25009,1.25009,-1.178
1.25824,1.25824,-1.178
